Cluster,Age,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction,Work/Study Hours,Financial Stress
0,25.82,3.14,0.0,7.66,2.94,0.0,7.16,3.14
1,28.0,0.0,5.0,0.0,0.0,4.0,5.5,3.5
